,Time_Zone ,Date,Tweets_tag
0, Central Africa Standard Time	,2021-04-30,"		Major throw back! FIDA Kenya Board members  during a Board retreat.  #alegacyofpromotingwomenrights #cjnomineemarthakoome #weleadothersfollow  #womeninpower #FIDAKenyaleads  https://t.co/4DHQ5FrkdH	en	[]	[]	['https://pbs.twimg.com/media/E0NhauFWYAUa1lS.jpg', 'https://pbs.twimg.com/media/E0NhbEUX0AIQGbl.jpg']	0	7	15	['alegacyofpromotingwomenrights', 'cjnomineemarthakoome', 'weleadothersfollow', 'womeninpower', 'fidakenyaleads']	[]	https://twitter.com/fidakenya/status/1388060231008141316	False	0	1	https://pbs.twimg.com/media/E0NhauFWYAUa1lS.jpg							[]"
1, Central Africa Standard Time	,2021-04-30,"		""""""While we may be individually strong, we are collectively powerful .â€� Rakhi Voria #womeninleadership  #womensupportingwomen  #womenpower  #breakingtheglassceiling  https://t.co/asjyzhYj3b""	en	[]	[]	['https://pbs.twimg.com/media/E0NVJvrWQAEjoGf.jpg']	0	7	14	['womeninleadership', 'womensupportingwomen', 'womenpower', 'breakingtheglassceiling']	[]	https://twitter.com/fidakenya/status/1388046804818726912	False	0	1	https://pbs.twimg.com/media/E0NVJvrWQAEjoGf.jpg							[]"
2, Central Africa Standard Time	,2021-04-30,"		@felix_kimm @Awireri @WanjiruKamanda @iluville @UNFPA @woman_kind @LizGichohi @vianna_mwende @SFCG_Kenya @USAIDKenya Apologies for this. Kindly DM  your contacts. Our team will reach out to you immediately. @Awireri @WanjiruKamanda @vianna_mwende @iluville	en	[{'screen_name': 'awireri', 'name': 'anne w. ireri', 'id': '1103635088'}, {'screen_name': 'wanjirukamanda', 'name': 'wanjiru kamanda', 'id': '1364008950'}, {'screen_name': 'vianna_mwende', 'name': 'vivian mwende', 'id': '2607110219'}, {'screen_name': 'iluville', 'name': 'said ilham', 'id': '2800394571'}]	[]	[]	1	0	0	[]	[]	https://twitter.com/fidakenya/status/1388042082955276288	False	0	0								[{'screen_name': 'felix_kimm', 'name': 'feliÃ—ðŸŒŸðŸ‡°ðŸ‡ª', 'id': '915132782535430144'}, {'screen_name': 'Awireri', 'name': 'Anne W. Ireri', 'id': '1103635088'}, {'screen_name': 'WanjiruKamanda', 'name': 'Wanjiru Kamanda', 'id': '1364008950'}, {'screen_name': 'iluville', 'name': 'Said Ilham', 'id': '2800394571'}, {'screen_name': 'UNFPA', 'name': 'UNFPA', 'id': '194643654'}, {'screen_name': 'woman_kind', 'name': 'Womankind Worldwide', 'id': '38401173'}, {'screen_name': 'LizGichohi', 'name': 'Liz Gichohi', 'id': '1126074219023020032'}, {'screen_name': 'vianna_mwende', 'name': 'vivian mwende', 'id': '2607110219'}, {'screen_name': 'SFCG_Kenya', 'name': 'Search for Common Ground Kenya(@SFCG_Kenya)', 'id': '1001331314342137856'}, {'screen_name': 'USAIDKenya', 'name': 'USAID Kenya', 'id': '259356502'}]"
3, Central Africa Standard Time	,2021-04-30,"		@Mukami_Mungai @StandardKenya @Mukami_Mungai this is a @fidakenya photo taken during a FIDA Board retreat. We have similar photos taken during other FIDA events that we can share.  Please credit the photo source. #womeninpower  #breakingtheglassceiling	en	[{'screen_name': 'fidakenya', 'name': 'fida-kenya', 'id': '207988763'}]	[]	[]	0	0	5	['womeninpower', 'breakingtheglassceiling']	[]	https://twitter.com/fidakenya/status/1388040942519787520	False	0	0								[{'screen_name': 'Mukami_Mungai', 'name': 'Mukami Mungai', 'id': '2308237412'}, {'screen_name': 'StandardKenya', 'name': 'The Standard Digital', 'id': '53037279'}]"
4, Central Africa Standard Time	,2021-04-27,		@fidakenya We celebrate our 
5, Central Africa Standard Time	,2021-04-26,"		@fidakenya calls upon members of the public to report any GBV matter through our toll free number 0 800 720 501. We also implore the public to assist in blood donation to safeguard lives when need arises.  #TogetherwecanendGBV #EndGBVNowKe  #EndGBV  https://t.co/d21MyfOOdm	en	[]	[]	['https://pbs.twimg.com/media/Ez6uGZ7XsAE0_zw.jpg', 'https://pbs.twimg.com/media/Ez6uG9pXsAAOATy.jpg', 'https://pbs.twimg.com/media/Ez6uHdrXoAI2xET.jpg', 'https://pbs.twimg.com/media/Ez6uIDAWYAMOYnG.jpg']	0	10	10	['togetherwecanendgbv', 'endgbvnowke', 'endgbv']	[]	https://twitter.com/fidakenya/status/1386737199241220098	False	0	1	https://pbs.twimg.com/media/Ez6uGZ7XsAE0_zw.jpg							[]"
6, Central Africa Standard Time	,2021-04-26,"		H.E Dr. William Kingi, the Deputy Governor Mombasa county officially opened the forum that is set to run the whole week from 26th to 30th April, 2021  https://t.co/d2F83ASdry	en	[]	[]	['https://pbs.twimg.com/media/Ez6sns5WUAMHz-T.jpg', 'https://pbs.twimg.com/media/Ez6soTYX0AULsj9.jpg', 'https://pbs.twimg.com/media/Ez6so7gWYAsbbvm.jpg', 'https://pbs.twimg.com/media/Ez6spf7WYAEQtZe.jpg']	0	7	13	[]	[]	https://twitter.com/fidakenya/status/1386735572622979076	False	0	1	https://pbs.twimg.com/media/Ez6sns5WUAMHz-T.jpg							[]"
7, Central Africa Standard Time	,2021-04-26,"		@fidakenya through support from USAID &amp;SFCG in conjunction with Mombasa County, Mombasa County Bodaboda safety Association,Kenya National Blood Transfusion Services,Kenya Red Cross &amp; other stakeholders today launched the bodaboda GBV sensitization week &amp; blood donation drive.  https://t.co/kO3Vs4Hrt7	en	[]	[]	['https://pbs.twimg.com/media/Ez6r6btXMAAXy9p.jpg', 'https://pbs.twimg.com/media/Ez6r6-UXIAQAcy-.jpg', 'https://pbs.twimg.com/media/Ez6r7jyWYAUY4CV.jpg', 'https://pbs.twimg.com/media/Ez6r8CbWUAI9vYJ.jpg']	2	7	18	[]	[]	https://twitter.com/fidakenya/status/1386734792939610112	False	0	1	https://pbs.twimg.com/media/Ez6r6btXMAAXy9p.jpg							[]"
8, Central Africa Standard Time	,2021-04-20,"		RT @RailaOdinga: This scourge must come to an end. The abnormality of these murders cannot become the normal No!   If you cannot reconcile,â€¦	en	[{'screen_name': 'railaodinga', 'name': 'raila odinga', 'id': '300789811'}]	[]	[]	0	186	0	[]	[]	https://twitter.com/fidakenya/status/1384491275622121473	True	0	0					300789811	""This scourge must come to an end. The abnormality of these murders cannot become the normal No!"
9, Central Africa Standard Time	,2021-04-16,"		@UNFPA @woman_kind @awdf01	und	""[{'screen_name': 'woman_kind', 'name': 'womankind worldwide', 'id': '38401173'}, {'screen_name': 'awdf01', 'name': """"african women's development fund"""", 'id': '24703416'}]""	[]	[]	0	0	0	[]	[]	https://twitter.com/fidakenya/status/1382971991834165249	False	https://twitter.com/fidakenya/status/1382700379352276995	0								[]"
