,Time_Zone ,Date,Tweets_tag
1, Central Africa Standard Time	,2021-05-09,"		#MothersDay GirlsðŸ‘§ are the future ðŸ¤°mothersðŸ§¡  It is important that we focus on their well-being &amp; keeping them safe from harmful practice such as #FGM &amp; child marriage.  #MothersDay2021 #endFGM    @Atayeshe @GPChildMarriage @NafissatouDiop @UNFPA @UNFPAKen @GlobalSpotlight  https://t.co/MQ9h8frtqD	en	[{'screen_name': 'atayeshe', 'name': 'dr. natalia kanem /she/her/ella/', 'id': '770650559699386369'}, {'screen_name': 'gpchildmarriage', 'name': 'unfpa-unicef global programme end child marriage', 'id': '1022857534057717760'}, {'screen_name': 'nafissatoudiop', 'name': 'nafissatou j. diop', 'id': '501074195'}, {'screen_name': 'unfpa', 'name': 'unfpa', 'id': '194643654'}, {'screen_name': 'unfpaken', 'name': 'unfpa kenya', 'id': '373303428'}, {'screen_name': 'globalspotlight', 'name': 'spotlight initiative', 'id': '983089422861291520'}]	[]	['https://pbs.twimg.com/media/E09oC8MX0AExkN0.jpg']	0	7	12	['mothersday', 'fgm', 'mothersday2021', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1391445531386433537	False	0	1	https://pbs.twimg.com/media/E09oC8MX0AExkN0.jpg							[]"
2, Central Africa Standard Time	,2021-05-09,"		The most damaging effects on the rights of girls and women have been the proliferation of physical and sexual violence, including #FGM.  If we desire to see a world where every girl lives free from the risk of FGM, we must accelerate our action towards the 2030 agenda.  #EndFGM  https://t.co/lbPencxcnt	en	[]	[]	['https://pbs.twimg.com/media/E07tgk9VkAAtHRS.jpg']	0	4	12	['fgm', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1391310483546775561	False	0	1	https://pbs.twimg.com/media/E07tgk9VkAAtHRS.jpg							[]"
3, Central Africa Standard Time	,2021-05-08,"		Discovering that the infections that troubled most women in her village in #Mali were linked to FGM, Fatoumata Camara worked for years with a local NGO, AMSOPT, to convince her neighbors to stop.  And she succeeded. This is ACT to #EndFGM!  @unfpamali @unicefmali  https://t.co/1euWBP8ruT	en	[{'screen_name': 'unfpamali', 'name': 'unfpa mali', 'id': '4007918968'}, {'screen_name': 'unicefmali', 'name': 'unicef mali', 'id': '563279467'}]	[]	['https://pbs.twimg.com/media/E027CKNUYAMMkSe.jpg']	0	5	24	['mali', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1390973513415020547	False	0	1	https://pbs.twimg.com/media/E027CKNUYAMMkSe.jpg							[]"
4, Central Africa Standard Time	,2021-05-08,"		To #EndFGM, communities need to collectively transform the norms standing behind the practice.  In 2020, through @GPtoEndFGM efforts, community and traditional leaders in 17,615 communities denounced FGM as a harmful practice.   And we will continue to strengthen this effort!  https://t.co/FWWDUP4mCr	en	[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}]	[]	['https://pbs.twimg.com/media/E02EGcNUUAAk405.jpg']	0	3	7	['endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1390913110332952578	False	0	1	https://pbs.twimg.com/media/E02EGcNUUAAk405.jpg							[]"
5, Central Africa Standard Time	,2021-05-07,"		The #COVID19 pandemic posed an increased need for mental health and psychosocial support.   In 2020, @GPtoEndFGM in #Egypt maintained its engagement on MHPSS through a series of innovative tools such as art, yoga, music, and theatre.   #MentalHealthMonth #EndFGM  https://t.co/mBQudcaNk2	en	[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}]	[]	['https://pbs.twimg.com/media/E0xxcTZUYAMWpH4.jpg']	0	4	16	['covid19', 'egypt', 'mentalhealthmonth', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1390611120184913920	False	0	1	https://pbs.twimg.com/media/E0xxcTZUYAMWpH4.jpg							[]"
6, Central Africa Standard Time	,2021-05-07,"		Since 2008, @GPtoEndFGM has been supporting the development of enabling policies and legal frameworks, access to essential services, girlsâ€™ and womenâ€™s empowerment activities, and community-led social and gender norms change to #EndFGM.  And we won't stop.  @Atayeshe @UNICEFChief  https://t.co/8dlo4QBjbU	en	[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}, {'screen_name': 'atayeshe', 'name': 'dr. natalia kanem /she/her/ella/', 'id': '770650559699386369'}, {'screen_name': 'unicefchief', 'name': 'henrietta h. fore', 'id': '950824252562903040'}]	[]	['https://pbs.twimg.com/media/E0w6gvMXIAA8oVA.jpg']	1	9	23	['endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1390550725147578375	False	0	1	https://pbs.twimg.com/media/E0w6gvMXIAA8oVA.jpg							[]"
7, Central Africa Standard Time	,2021-05-06,"		Meet Astan Fomba (16) from Fougadougou, #Mali - one of the villages that have publicly declared abandonment of harmful practices such as FGM.  Astan is proud to have escaped such practice and to live in a village that has committed to #EndFGM!  Watch here:  https://t.co/kbtzmOVoGq  https://t.co/uqWl3VrT5P	en	[]	['https://bit.ly/3edctOk']	['https://pbs.twimg.com/media/E0sn2koVIAI4CcQ.jpg']	0	0	9	['mali', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1390248733913190408	False	0	1	https://pbs.twimg.com/media/E0sn2koVIAI4CcQ.jpg							[]"
8, Central Africa Standard Time	,2021-05-06,"		Ensuring access to health services to those affected by and at risk of FGM not only serves beneficial to the individual but also improves the health of families &amp; well-being of communities.  In 2020, through @GPtoEndFGM, 430,748 girls &amp; women received health services.   #EndFGM  https://t.co/Srxn9N8977	en	[{'screen_name': 'gptoendfgm', 'name': 'unfpa-unicef jp to end female genital mutilation', 'id': '1173614701806280705'}]	[]	['https://pbs.twimg.com/media/E0rw61yVUAIFh4x.jpg']	0	3	6	['endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1390188332898951175	False	0	1	https://pbs.twimg.com/media/E0rw61yVUAIFh4x.jpg							[]"
9, Central Africa Standard Time	,2021-05-06,"		âš ï¸�FGM is never safe &amp; there is no medical justification for it!  Let's celebrate ðŸ‘�ðŸ�¼ðŸ‘�ðŸ�¾ðŸ‘�ðŸ�¿ midwives leading a campaign to end the medicalization of #FGM during #COVID19 in #Somalia.  Read more ðŸ‘‰ðŸ�½  https://t.co/Eni9BSc3dj  #MidwivesDay #IDM2021 #EndFGM  https://t.co/lzGZDfU8Ny	en	[]	['https://shar.es/aoSSAs']	['https://pbs.twimg.com/media/E0qiAmcXIAYmfK_.jpg']	1	11	20	['fgm', 'covid19', 'somalia', 'midwivesday', 'idm2021', 'endfgm']	[]	https://twitter.com/GPtoEndFGM/status/1390101568582717447	False	0	1	https://pbs.twimg.com/media/E0qiAmcXIAYmfK_.jpg							[]"
10, Central Africa Standard Time	,2021-05-05,"		Fatouma once used her hands to perform FGM. Now she uses them to bring babies into the world as a midwifeðŸ§•ðŸ�¼ðŸ§‘ðŸ�½â€�âš•ï¸�ï¸�ðŸ§‘ðŸ�¿â€�âš•ï¸�ðŸ§‘ðŸ�¼â€�âš•ï¸�   Itâ€™s in our hands to #EndFGM.  Let's celebrate ðŸ‘�ðŸ�¼ðŸ‘�ðŸ�¾ðŸ‘�ðŸ�¿ midwives who are working to educate mothers to be on the harms of #FGM.   #MidwivesDay #IDM2021  https://t.co/nsY6SbCogK	en	[]	[]	[]	1	0	8	['endfgm', 'fgm', 'midwivesday', 'idm2021']	[]	https://twitter.com/GPtoEndFGM/status/1390018736598355970	False	0	1	https://pbs.twimg.com/ext_tw_video_thumb/1390018706894245890/pu/img/HyxZWdQ0iuAl6CxE.jpg							[]"
